TransactionAmount,TransactionType,Location,DeviceID,MerchantID,Channel,CustomerAge,CustomerOccupation,TransactionDuration,LoginAttempts,AccountBalance,TransactionHour,TransactionWeekday,TransactionDay,TransactionMonth,PreviousTransactionDate
254.77,Debit,Denver,D000216,M031,Branch,57,Engineer,57,1,5994.87,16,2,18,1,2024-11-04 08:07:07
795.96,Debit,Raleigh,D000283,M014,Online,65,Retired,119,1,5468.58,17,3,28,9,2024-11-04 08:08:26
149.25,Debit,Omaha,D000604,M067,ATM,39,Engineer,142,1,5677.52,16,0,10,4,2024-11-04 08:07:41
3.42,Credit,San Antonio,D000484,M092,Online,43,Doctor,158,1,14180.21,16,0,25,9,2024-11-04 08:08:48
68.19,Credit,Fresno,D000589,M026,Online,40,Doctor,189,1,9895.1,16,1,14,3,2024-11-04 08:07:50
493.42,Debit,Baltimore,D000474,M039,Branch,39,Engineer,111,1,2232.84,17,2,14,6,2024-11-04 08:10:01
37.57,Debit,El Paso,D000422,M048,ATM,57,Retired,42,1,7739.54,18,2,26,4,2024-11-04 08:09:21
127.0,Credit,Nashville,D000024,M015,Branch,19,Student,68,5,431.16,17,4,15,9,2024-11-04 08:10:12
96.89,Debit,Sacramento,D000295,M005,ATM,59,Retired,53,1,6044.93,16,3,16,3,2024-11-04 08:11:06
448.33,Debit,Atlanta,D000452,M031,ATM,25,Student,161,1,922.19,16,0,1,5,2024-11-04 08:09:44
1116.48,Debit,San Diego,D000633,M057,ATM,51,Engineer,55,1,447.53,17,0,18,9,2024-11-04 08:11:35
8.65,Debit,Las Vegas,D000309,M037,Online,48,Doctor,273,1,10778.35,17,0,5,6,2024-11-04 08:09:03
65.57,Debit,Miami,D000649,M039,Online,41,Engineer,82,1,7513.79,17,3,6,4,2024-11-04 08:06:26
539.81,Debit,San Francisco,D000632,M064,Online,46,Engineer,177,1,2051.25,16,1,21,2,2024-11-04 08:09:05
363.53,Debit,Kansas City,D000131,M068,ATM,63,Retired,142,1,1038.91,17,2,18,1,2024-11-04 08:10:57
64.9,Credit,Detroit,D000165,M043,Branch,51,Retired,72,1,6854.61,16,1,14,2,2024-11-04 08:10:18
358.18,Debit,Boston,D000650,M028,ATM,18,Student,157,1,619.86,16,0,10,4,2024-11-04 08:07:58
167.2,Debit,San Antonio,D000002,M036,Branch,30,Doctor,84,1,11320.83,17,2,18,1,2024-11-04 08:06:52
121.91,Debit,Chicago,D000264,M015,Branch,60,Doctor,133,1,14510.8,18,0,26,6,2024-11-04 08:08:59
137.57,Debit,Louisville,D000218,M067,Online,54,Engineer,70,1,5103.67,17,0,11,12,2024-11-04 08:11:22
534.62,Debit,Oklahoma City,D000354,M007,Online,55,Doctor,45,1,13793.53,17,1,5,12,2024-11-04 08:06:35
463.92,Debit,Mesa,D000533,M010,Online,50,Engineer,199,1,2403.39,16,0,13,3,2024-11-04 08:09:14
320.14,Debit,Milwaukee,D000141,M021,Online,60,Retired,96,1,3075.97,16,1,31,1,2024-11-04 08:07:40
214.93,Debit,Albuquerque,D000038,M038,Online,28,Student,52,1,7835.4,17,0,15,5,2024-11-04 08:08:51
660.02,Debit,Nashville,D000462,M053,Branch,20,Student,84,1,414.43,16,3,12,10,2024-11-04 08:08:35
345.81,Debit,Raleigh,D000417,M099,Branch,40,Engineer,135,1,6116.8,16,0,26,6,2024-11-04 08:12:14
143.54,Debit,Philadelphia,D000432,M096,ATM,71,Retired,80,1,6067.62,16,0,16,10,2024-11-04 08:08:22
42.55,Debit,Seattle,D000034,M013,Branch,53,Engineer,29,1,7341.43,18,4,31,3,2024-11-04 08:10:32
1063.25,Credit,Omaha,D000029,M070,Online,21,Student,128,1,1240.71,16,1,17,1,2024-11-04 08:07:39
541.79,Debit,Mesa,D000558,M098,ATM,22,Student,125,1,1454.08,16,4,11,8,2024-11-04 08:11:29
40.57,Debit,Columbus,D000380,M096,Branch,26,Student,63,1,1476.91,17,0,13,2,2024-11-04 08:06:37
120.24,Debit,Milwaukee,D000570,M087,Branch,18,Student,131,2,1943.13,16,0,28,8,2024-11-04 08:08:20
498.67,Debit,Miami,D000690,M036,Online,28,Student,244,1,1719.97,16,1,5,12,2024-11-04 08:08:24
227.22,Debit,El Paso,D000350,M074,ATM,53,Doctor,220,1,832.82,18,0,27,3,2024-11-04 08:11:56
1182.86,Debit,Tucson,D000673,M050,Online,30,Engineer,34,1,7696.16,16,0,11,12,2024-11-04 08:08:58
56.94,Credit,Charlotte,D000542,M043,Online,76,Retired,74,1,7004.63,16,0,11,12,2024-11-04 08:07:42
629.82,Debit,Colorado Springs,D000198,M056,ATM,68,Retired,159,1,6385.69,16,0,17,7,2024-11-04 08:11:59
59.44,Debit,Chicago,D000479,M002,Online,35,Engineer,176,1,5472.03,17,1,13,6,2024-11-04 08:06:34
186.69,Debit,New York,D000546,M015,Branch,30,Engineer,54,1,8602.22,16,4,29,12,2024-11-04 08:08:12
230.46,Debit,Mesa,D000401,M003,Online,19,Student,179,1,162.53,17,1,25,4,2024-11-04 08:08:50
65.09,Credit,Seattle,D000434,M066,Online,44,Engineer,159,1,9370.9,17,1,28,2,2024-11-04 08:09:41
457.09,Credit,Nashville,D000278,M033,Online,55,Engineer,63,1,8570.82,16,3,25,5,2024-11-04 08:08:45
552.02,Credit,Chicago,D000061,M048,ATM,44,Engineer,100,1,522.08,16,3,30,11,2024-11-04 08:09:25
377.12,Debit,Houston,D000321,M049,ATM,34,Engineer,61,1,836.67,17,0,14,8,2024-11-04 08:11:40
204.56,Credit,San Diego,D000094,M013,Branch,18,Student,179,1,364.72,17,0,11,9,2024-11-04 08:10:26
420.28,Debit,Washington,D000677,M002,Branch,35,Doctor,144,1,8557.32,17,2,17,5,2024-11-04 08:09:01
97.09,Debit,Fort Worth,D000164,M052,ATM,24,Student,202,4,1579.57,18,0,10,4,2024-11-04 08:06:33
124.59,Debit,Charlotte,D000037,M025,Branch,27,Student,171,1,129.29,17,4,5,5,2024-11-04 08:09:21
73.88,Debit,Charlotte,D000611,M015,Online,39,Doctor,34,1,6474.41,16,0,2,1,2024-11-04 08:09:09
77.43,Debit,Raleigh,D000403,M047,Online,21,Student,169,1,1380.21,16,3,19,1,2024-11-04 08:06:33
106.16,Debit,Phoenix,D000673,M098,ATM,56,Doctor,277,4,7487.79,17,4,14,4,2024-11-04 08:08:51
245.93,Debit,Fresno,D000096,M054,Branch,54,Engineer,172,1,7986.63,18,1,6,6,2024-11-04 08:11:58
622.41,Debit,Indianapolis,D000680,M100,ATM,64,Doctor,125,1,7322.01,16,0,11,12,2024-11-04 08:07:48
43.73,Debit,Omaha,D000631,M011,ATM,34,Doctor,145,1,9929.43,16,0,3,4,2024-11-04 08:10:33
1282.86,Debit,Austin,D000388,M070,Branch,19,Student,68,1,1830.98,16,0,15,5,2024-11-04 08:07:32
2.03,Credit,Detroit,D000271,M012,ATM,33,Engineer,28,1,3012.31,16,0,1,1,2024-11-04 08:08:50
770.65,Debit,Jacksonville,D000119,M016,Online,31,Doctor,137,1,7198.8,17,2,5,7,2024-11-04 08:09:01
260.31,Debit,Austin,D000404,M065,Branch,63,Doctor,113,1,10980.38,16,1,28,2,2024-11-04 08:12:03
356.1,Credit,Fort Worth,D000441,M043,Branch,26,Student,187,1,868.35,16,2,25,10,2024-11-04 08:11:02
27.07,Credit,Virginia Beach,D000046,M004,Branch,80,Retired,39,1,3773.29,17,0,6,3,2024-11-04 08:09:57
119.89,Debit,Tucson,D000013,M004,ATM,67,Doctor,60,1,6697.77,17,1,19,12,2024-11-04 08:09:02
106.39,Debit,Virginia Beach,D000485,M003,Online,37,Doctor,281,1,9410.99,18,0,13,2,2024-11-04 08:10:32
12.04,Debit,Fort Worth,D000535,M053,Online,37,Engineer,58,1,6213.32,16,2,15,11,2024-11-04 08:08:25
365.7,Debit,Houston,D000051,M045,Branch,21,Student,115,2,368.78,16,4,27,1,2024-11-04 08:10:17
29.38,Credit,Baltimore,D000053,M064,Branch,28,Student,63,1,1663.31,16,2,15,2,2024-11-04 08:11:08
319.85,Debit,Denver,D000589,M083,ATM,60,Doctor,148,1,711.66,16,2,26,7,2024-11-04 08:07:45
350.14,Credit,Los Angeles,D000182,M048,Online,75,Retired,38,1,2403.25,18,4,24,3,2024-11-04 08:08:40
163.94,Credit,Virginia Beach,D000352,M041,Branch,52,Retired,73,1,5957.37,18,3,3,8,2024-11-04 08:09:51
170.53,Debit,Oklahoma City,D000140,M089,Branch,24,Student,58,1,801.01,18,0,6,2,2024-11-04 08:09:49
262.22,Credit,Baltimore,D000006,M080,ATM,40,Engineer,136,1,5711.71,17,3,13,7,2024-11-04 08:12:12
41.49,Debit,Albuquerque,D000422,M027,Online,24,Student,13,1,928.33,16,0,24,4,2024-11-04 08:12:03
121.43,Credit,Sacramento,D000244,M062,Branch,52,Engineer,243,1,7365.28,16,1,21,3,2024-11-04 08:07:28
350.46,Debit,Nashville,D000079,M023,Branch,51,Retired,165,1,5839.38,16,4,8,12,2024-11-04 08:06:32
220.41,Credit,El Paso,D000574,M059,Online,26,Engineer,155,1,5116.98,16,0,4,9,2024-11-04 08:10:04
33.46,Debit,Seattle,D000617,M003,ATM,72,Retired,111,1,3641.07,16,0,20,2,2024-11-04 08:09:12
104.79,Debit,Denver,D000531,M039,ATM,70,Doctor,223,1,1352.19,16,0,7,8,2024-11-04 08:10:07
246.27,Debit,Fresno,D000102,M058,Online,29,Doctor,141,1,7299.86,16,2,27,12,2024-11-04 08:10:57
48.85,Debit,Dallas,D000645,M049,ATM,19,Student,176,1,1503.56,16,4,8,12,2024-11-04 08:07:15
332.0,Debit,Charlotte,D000101,M038,ATM,69,Retired,17,1,5943.13,16,3,27,4,2024-11-04 08:07:03
118.1,Debit,Memphis,D000023,M071,Online,54,Engineer,167,1,895.66,16,1,31,10,2024-11-04 08:09:14
84.59,Credit,Las Vegas,D000560,M004,Branch,67,Doctor,10,1,5669.1,16,2,19,4,2024-11-04 08:07:12
295.64,Debit,Jacksonville,D000225,M021,Online,21,Student,82,1,1061.96,17,3,14,12,2024-11-04 08:10:41
514.33,Debit,Philadelphia,D000478,M017,Branch,25,Student,160,1,1592.94,16,4,2,6,2024-11-04 08:12:17
992.17,Debit,San Antonio,D000205,M007,ATM,43,Doctor,169,1,6215.96,18,0,27,2,2024-11-04 08:12:19
94.59,Debit,Washington,D000270,M085,Online,39,Doctor,34,1,6171.89,17,4,1,12,2024-11-04 08:10:37
80.43,Debit,Columbus,D000483,M014,Branch,59,Retired,157,1,5987.67,16,2,4,1,2024-11-04 08:08:18
54.25,Debit,Virginia Beach,D000353,M042,Online,68,Doctor,37,1,14783.33,16,0,31,7,2024-11-04 08:08:53
178.88,Credit,Dallas,D000101,M026,Branch,76,Retired,93,4,4708.29,17,0,19,6,2024-11-04 08:12:10
518.85,Debit,Kansas City,D000100,M038,Online,22,Student,82,1,1806.0,18,0,23,10,2024-11-04 08:06:37
10.65,Debit,Louisville,D000484,M081,Online,54,Doctor,161,1,13240.72,16,0,24,4,2024-11-04 08:10:21
198.62,Credit,Tucson,D000378,M079,Branch,27,Student,84,1,1196.07,16,0,15,5,2024-11-04 08:06:38
107.03,Debit,Miami,D000628,M038,Branch,27,Student,73,1,1408.07,18,0,6,3,2024-11-04 08:12:13
139.57,Debit,Fort Worth,D000222,M030,ATM,19,Student,263,3,271.78,17,4,17,11,2024-11-04 08:07:23
312.47,Debit,Milwaukee,D000658,M033,ATM,49,Engineer,148,4,9419.27,17,1,2,5,2024-11-04 08:08:05
346.11,Debit,Dallas,D000362,M007,Branch,41,Engineer,213,1,9551.64,17,2,4,1,2024-11-04 08:08:03
138.06,Debit,Charlotte,D000188,M099,Branch,44,Engineer,159,1,1070.47,17,1,25,7,2024-11-04 08:06:52
158.02,Debit,New York,D000032,M026,ATM,49,Engineer,120,1,9374.24,17,2,20,9,2024-11-04 08:09:57
830.01,Credit,Chicago,D000559,M071,Online,66,Retired,96,1,4253.18,16,4,21,7,2024-11-04 08:11:27
435.5,Debit,Oklahoma City,D000461,M008,ATM,55,Retired,112,1,6981.03,18,0,15,5,2024-11-04 08:09:40
110.49,Debit,Raleigh,D000449,M068,Online,57,Doctor,48,1,10483.93,17,1,31,10,2024-11-04 08:12:20
329.4,Debit,Denver,D000692,M017,Online,34,Doctor,68,1,9588.07,16,0,25,12,2024-11-04 08:07:55
635.4,Debit,Denver,D000002,M018,ATM,47,Doctor,106,1,1238.11,16,1,19,9,2024-11-04 08:11:45
769.97,Debit,San Diego,D000393,M058,Branch,22,Student,23,1,1244.93,18,3,16,2,2024-11-04 08:09:51
175.07,Debit,Colorado Springs,D000379,M091,Branch,26,Student,169,1,1040.25,17,0,4,9,2024-11-04 08:08:15
7.31,Debit,Las Vegas,D000060,M028,Branch,78,Retired,282,1,5757.67,16,0,26,6,2024-11-04 08:07:15
175.15,Debit,Detroit,D000367,M090,ATM,27,Student,32,1,1712.65,17,3,9,11,2024-11-04 08:09:45
32.54,Debit,Oklahoma City,D000008,M022,Online,25,Student,183,4,1544.88,16,1,4,7,2024-11-04 08:07:01
121.82,Debit,Dallas,D000542,M032,Online,60,Doctor,119,1,13293.83,18,4,8,9,2024-11-04 08:11:30
56.12,Debit,El Paso,D000431,M049,ATM,30,Doctor,102,1,8839.67,18,2,13,9,2024-11-04 08:09:30
424.7,Credit,Miami,D000066,M032,Online,56,Retired,178,1,6239.89,17,0,30,1,2024-11-04 08:08:25
35.16,Debit,Chicago,D000075,M029,Branch,32,Engineer,130,1,8459.18,17,2,25,10,2024-11-04 08:10:34
35.73,Debit,Miami,D000693,M028,Branch,65,Doctor,87,1,9073.17,16,0,12,6,2024-11-04 08:11:09
3.44,Debit,Fort Worth,D000389,M004,ATM,78,Retired,108,1,7561.33,17,3,19,1,2024-11-04 08:12:20
1342.25,Credit,Fort Worth,D000643,M032,Branch,21,Student,235,1,694.03,18,4,28,4,2024-11-04 08:08:00
139.03,Credit,Los Angeles,D000359,M076,Online,50,Engineer,81,1,2276.57,18,2,30,8,2024-11-04 08:11:29
254.92,Credit,San Antonio,D000088,M064,ATM,28,Engineer,169,1,2791.12,16,0,18,9,2024-11-04 08:07:18
115.11,Debit,Albuquerque,D000632,M011,Online,28,Engineer,139,1,9808.97,17,4,5,5,2024-11-04 08:10:18
171.11,Debit,San Francisco,D000172,M084,ATM,57,Retired,171,1,6324.09,16,0,15,5,2024-11-04 08:08:40
168.54,Debit,Oklahoma City,D000467,M064,ATM,70,Doctor,142,2,13406.0,16,3,2,2,2024-11-04 08:08:14
420.76,Debit,Miami,D000329,M054,Branch,51,Retired,76,1,6581.55,16,3,23,2,2024-11-04 08:08:38
408.46,Debit,Raleigh,D000669,M058,Branch,64,Retired,28,1,3140.79,16,2,1,3,2024-11-04 08:08:20
1162.42,Credit,Detroit,D000153,M009,Online,30,Doctor,45,1,10357.26,16,2,23,8,2024-11-04 08:09:09
342.17,Credit,New York,D000532,M033,Branch,21,Student,247,1,461.83,16,3,14,12,2024-11-04 08:08:32
580.71,Debit,Philadelphia,D000203,M046,ATM,53,Engineer,95,1,5670.0,16,2,20,9,2024-11-04 08:10:54
821.54,Credit,Atlanta,D000142,M044,Branch,79,Retired,36,1,4040.32,18,1,22,8,2024-11-04 08:11:57
253.47,Debit,Atlanta,D000388,M077,Branch,20,Student,238,1,220.51,17,2,14,6,2024-11-04 08:08:12
22.81,Debit,New York,D000065,M083,Online,62,Retired,75,1,3634.76,17,0,29,5,2024-11-04 08:07:59
266.57,Credit,Boston,D000058,M026,Online,39,Engineer,96,1,7180.48,17,0,3,7,2024-11-04 08:07:10
374.61,Credit,Mesa,D000056,M079,Online,75,Retired,37,1,1389.71,18,1,29,8,2024-11-04 08:11:24
339.35,Credit,Boston,D000099,M084,ATM,78,Retired,70,1,5002.7,16,4,3,2,2024-11-04 08:08:17
810.36,Debit,Columbus,D000393,M081,ATM,20,Student,67,1,9239.12,16,1,17,1,2024-11-04 08:07:19
9.83,Debit,Memphis,D000054,M004,ATM,24,Student,86,1,666.42,17,0,24,7,2024-11-04 08:09:03
135.57,Credit,Boston,D000225,M073,Branch,51,Doctor,116,1,11351.64,17,2,14,6,2024-11-04 08:11:44
340.05,Debit,Detroit,D000196,M038,ATM,43,Engineer,37,1,7234.15,17,4,27,10,2024-11-04 08:07:43
283.45,Debit,Colorado Springs,D000399,M039,Branch,27,Engineer,127,1,2049.51,17,1,17,10,2024-11-04 08:08:51
100.99,Debit,New York,D000466,M078,ATM,68,Doctor,114,1,8865.27,16,0,29,5,2024-11-04 08:09:12
90.88,Debit,Albuquerque,D000449,M071,Branch,18,Student,176,1,3908.47,16,0,20,2,2024-11-04 08:07:13
655.15,Debit,Seattle,D000626,M083,ATM,26,Engineer,264,1,5587.44,16,0,2,1,2024-11-04 08:07:15
320.55,Debit,Milwaukee,D000549,M041,Online,50,Engineer,118,1,438.75,17,0,1,5,2024-11-04 08:08:14
41.51,Debit,Phoenix,D000688,M084,Online,28,Student,48,1,609.6,16,2,4,10,2024-11-04 08:11:54
71.53,Credit,Jacksonville,D000420,M030,Branch,68,Retired,39,1,2393.73,16,0,30,10,2024-11-04 08:12:00
467.13,Credit,Kansas City,D000025,M096,Branch,54,Retired,45,1,3914.84,17,3,28,9,2024-11-04 08:06:58
235.4,Debit,Detroit,D000141,M038,Branch,28,Student,70,1,818.36,17,1,26,9,2024-11-04 08:10:13
159.32,Debit,Seattle,D000446,M033,Branch,18,Student,100,1,304.44,18,0,16,1,2024-11-04 08:10:32
50.83,Credit,Philadelphia,D000421,M076,Online,30,Doctor,48,1,9553.42,16,0,18,12,2024-11-04 08:10:06
56.89,Credit,Houston,D000120,M062,Branch,59,Engineer,56,1,3034.67,18,4,3,2,2024-11-04 08:09:52
20.22,Debit,Jacksonville,D000123,M003,ATM,43,Engineer,138,1,5515.32,18,4,10,3,2024-11-04 08:06:32
50.4,Debit,San Antonio,D000565,M079,Branch,36,Doctor,84,1,1677.01,17,0,27,3,2024-11-04 08:07:17
73.88,Debit,Los Angeles,D000405,M009,Branch,53,Retired,131,1,4055.55,17,0,8,5,2024-11-04 08:08:11
119.61,Debit,San Diego,D000102,M017,ATM,33,Doctor,53,1,9899.94,16,1,14,3,2024-11-04 08:07:28
1241.05,Debit,Miami,D000105,M089,Branch,18,Student,129,1,756.74,16,1,21,11,2024-11-04 08:11:48
116.58,Debit,Raleigh,D000646,M038,Branch,43,Engineer,247,1,2620.74,16,3,31,8,2024-11-04 08:06:50
1919.11,Debit,Portland,D000191,M033,ATM,30,Doctor,161,1,11090.24,17,1,27,6,2024-11-04 08:10:27
391.96,Debit,Nashville,D000452,M032,ATM,64,Retired,79,1,2174.16,16,0,19,6,2024-11-04 08:06:47
156.26,Credit,Virginia Beach,D000134,M059,Branch,46,Engineer,160,1,7854.1,17,0,2,1,2024-11-04 08:09:29
427.0,Credit,Oklahoma City,D000629,M065,Branch,49,Engineer,163,1,8253.65,17,0,31,7,2024-11-04 08:07:30
443.68,Debit,Tucson,D000400,M012,ATM,18,Student,137,1,874.15,18,1,25,4,2024-11-04 08:10:26
101.76,Debit,Philadelphia,D000374,M071,Branch,31,Doctor,26,1,6043.25,17,0,20,2,2024-11-04 08:11:08
67.57,Debit,Charlotte,D000498,M093,Branch,37,Engineer,107,1,2766.12,16,3,17,8,2024-11-04 08:11:15
326.29,Debit,Denver,D000184,M025,Online,56,Engineer,179,1,8171.26,17,2,6,12,2024-11-04 08:10:44
158.56,Debit,Sacramento,D000027,M087,ATM,33,Doctor,100,1,5401.21,17,1,28,2,2024-11-04 08:10:48
56.02,Debit,Memphis,D000455,M003,Online,27,Student,142,1,3548.02,17,0,19,6,2024-11-04 08:07:58
288.28,Debit,Portland,D000127,M087,Online,27,Student,36,1,160.83,17,1,17,1,2024-11-04 08:06:33
245.67,Credit,Portland,D000097,M088,Branch,24,Student,107,1,752.25,18,0,2,1,2024-11-04 08:07:45
152.18,Credit,Los Angeles,D000637,M093,Online,39,Engineer,176,4,2459.84,16,0,7,8,2024-11-04 08:10:50
114.35,Credit,El Paso,D000264,M025,Branch,41,Engineer,21,1,469.12,16,0,27,11,2024-11-04 08:10:13
373.27,Credit,Miami,D000090,M053,Online,61,Doctor,79,1,8441.61,18,1,18,7,2024-11-04 08:06:36
504.63,Debit,Portland,D000129,M068,Online,60,Engineer,168,1,3806.16,17,0,13,11,2024-11-04 08:07:50
126.22,Debit,Atlanta,D000094,M081,ATM,46,Engineer,77,4,6133.41,16,3,4,5,2024-11-04 08:07:41
820.15,Debit,Kansas City,D000281,M093,Branch,47,Doctor,181,1,8802.97,16,0,18,12,2024-11-04 08:10:34
986.81,Credit,Houston,D000093,M039,Online,68,Doctor,127,1,14881.77,16,4,31,3,2024-11-04 08:09:09
8.37,Debit,Colorado Springs,D000425,M011,ATM,63,Retired,135,1,1106.34,16,3,12,1,2024-11-04 08:11:23
197.49,Credit,Fresno,D000649,M007,Online,53,Retired,30,1,5005.33,16,0,3,7,2024-11-04 08:06:40
637.97,Debit,New York,D000646,M066,Branch,58,Retired,90,1,7949.03,17,0,23,10,2024-11-04 08:07:56
13.52,Debit,Seattle,D000584,M001,ATM,26,Student,65,1,259.77,16,0,15,5,2024-11-04 08:06:30
432.1,Debit,San Francisco,D000264,M048,ATM,49,Engineer,240,1,2114.3,16,0,20,3,2024-11-04 08:10:16
375.17,Debit,Fort Worth,D000226,M053,ATM,51,Engineer,66,2,5495.3,17,3,8,6,2024-11-04 08:11:26
642.68,Debit,Fresno,D000269,M034,Branch,50,Doctor,94,1,8461.46,16,4,17,2,2024-11-04 08:08:38
78.44,Credit,San Jose,D000476,M033,Online,52,Retired,292,1,6870.84,17,1,21,11,2024-11-04 08:10:39
139.72,Debit,Memphis,D000516,M033,Branch,49,Engineer,201,1,5058.83,17,0,16,1,2024-11-04 08:08:24
499.99,Debit,San Jose,D000100,M046,Branch,31,Engineer,296,1,8885.0,16,2,2,8,2024-11-04 08:09:05
10.07,Debit,Albuquerque,D000494,M029,Online,24,Student,49,1,530.81,16,1,17,1,2024-11-04 08:08:57
120.62,Debit,Raleigh,D000024,M087,ATM,23,Student,85,1,9379.53,16,0,27,2,2024-11-04 08:06:39
578.49,Debit,Nashville,D000463,M032,Branch,59,Retired,180,1,6475.13,17,0,16,10,2024-11-04 08:06:50
119.3,Debit,Mesa,D000597,M058,Branch,34,Engineer,22,5,319.04,16,0,28,8,2024-11-04 08:08:55
280.92,Debit,Phoenix,D000320,M048,Online,41,Doctor,168,1,5298.85,18,0,1,1,2024-11-04 08:06:41
42.42,Debit,Sacramento,D000068,M042,Online,21,Student,102,1,490.57,17,3,1,6,2024-11-04 08:09:11
77.03,Debit,Fresno,D000681,M030,ATM,67,Doctor,259,1,11310.27,16,0,19,6,2024-11-04 08:08:06
22.59,Debit,Seattle,D000048,M060,ATM,62,Retired,45,1,3988.75,16,0,27,3,2024-11-04 08:08:22
568.76,Debit,Baltimore,D000221,M097,ATM,51,Retired,155,1,7484.32,16,0,9,10,2024-11-04 08:12:09
25.94,Credit,San Jose,D000232,M003,Online,58,Retired,211,5,4815.11,18,0,16,10,2024-11-04 08:06:38
105.94,Debit,Oklahoma City,D000532,M074,Branch,51,Engineer,207,1,5963.1,16,0,7,8,2024-11-04 08:09:59
733.29,Debit,Virginia Beach,D000618,M032,ATM,52,Doctor,94,5,10427.0,18,2,15,3,2024-11-04 08:07:12
350.15,Credit,Fresno,D000234,M052,ATM,21,Student,195,1,296.47,16,0,27,11,2024-11-04 08:08:37
1151.18,Debit,Kansas City,D000208,M055,ATM,65,Doctor,105,1,1100.06,17,4,25,8,2024-11-04 08:07:02
183.67,Debit,San Diego,D000187,M085,Online,19,Student,238,1,910.26,16,0,26,6,2024-11-04 08:11:05
278.27,Debit,Tucson,D000141,M027,Branch,29,Doctor,123,1,6684.34,16,0,10,4,2024-11-04 08:09:58
470.3,Debit,Austin,D000695,M091,ATM,40,Doctor,88,1,8524.09,18,1,12,9,2024-11-04 08:08:00
261.69,Debit,Philadelphia,D000117,M042,ATM,53,Retired,84,1,5126.65,17,0,27,11,2024-11-04 08:09:09
365.04,Debit,Virginia Beach,D000232,M003,Branch,22,Student,94,1,873.89,16,0,6,3,2024-11-04 08:12:08
211.1,Debit,Miami,D000653,M070,Branch,57,Retired,136,1,7059.77,16,3,14,9,2024-11-04 08:07:01
21.49,Debit,Denver,D000108,M050,ATM,58,Doctor,240,1,11991.24,16,3,4,5,2024-11-04 08:08:08
63.58,Debit,Columbus,D000081,M093,ATM,18,Student,199,1,8086.04,17,0,11,9,2024-11-04 08:11:56
321.86,Debit,San Antonio,D000554,M005,ATM,63,Doctor,167,1,12626.49,16,0,24,7,2024-11-04 08:06:35
12.11,Debit,Jacksonville,D000577,M038,Branch,75,Retired,127,1,1730.28,16,1,12,12,2024-11-04 08:07:10
642.54,Debit,Milwaukee,D000663,M025,Branch,44,Engineer,28,1,3143.17,18,2,10,5,2024-11-04 08:10:37
210.45,Debit,Las Vegas,D000547,M011,ATM,27,Student,146,1,1242.49,16,0,11,12,2024-11-04 08:06:24
313.65,Credit,Chicago,D000288,M017,Branch,55,Retired,173,1,1886.36,16,0,30,1,2024-11-04 08:10:49
99.76,Debit,Sacramento,D000501,M039,Branch,26,Student,131,1,416.89,16,0,7,8,2024-11-04 08:06:26
115.32,Debit,Denver,D000663,M075,Branch,53,Retired,113,1,5929.08,17,1,25,7,2024-11-04 08:08:36
33.61,Debit,Milwaukee,D000116,M014,Online,23,Student,72,1,479.08,17,0,21,8,2024-11-04 08:08:40
498.59,Credit,Oklahoma City,D000604,M032,Online,33,Doctor,32,1,5862.99,16,0,30,1,2024-11-04 08:06:58
98.81,Debit,San Francisco,D000430,M047,Branch,27,Student,91,1,797.1,16,0,4,9,2024-11-04 08:08:11
1.87,Debit,Washington,D000165,M014,ATM,65,Retired,147,1,7287.94,18,4,20,10,2024-11-04 08:09:48
78.92,Credit,Jacksonville,D000118,M075,Online,59,Engineer,95,1,5624.86,18,3,15,6,2024-11-04 08:08:28
194.29,Credit,Seattle,D000307,M059,Branch,39,Engineer,10,1,2988.41,16,0,23,1,2024-11-04 08:08:57
28.73,Debit,Kansas City,D000384,M016,ATM,53,Engineer,185,1,2712.96,16,1,31,10,2024-11-04 08:08:37
105.53,Debit,Colorado Springs,D000003,M026,Online,24,Student,88,1,1433.66,16,4,16,6,2024-11-04 08:10:14
737.34,Debit,Miami,D000041,M006,Online,30,Doctor,34,1,7336.56,17,0,20,3,2024-11-04 08:08:06
237.86,Debit,Philadelphia,D000274,M044,ATM,18,Student,210,1,475.63,17,0,6,2,2024-11-04 08:10:20
409.61,Debit,Kansas City,D000618,M024,Branch,65,Doctor,89,1,11698.15,16,2,26,7,2024-11-04 08:10:16
75.53,Credit,Fresno,D000597,M009,Online,21,Student,157,1,1034.35,17,0,21,8,2024-11-04 08:07:11
72.75,Debit,Phoenix,D000413,M067,ATM,64,Doctor,15,1,12042.79,16,0,1,5,2024-11-04 08:07:19
39.11,Debit,Columbus,D000241,M052,Online,26,Student,143,1,518.54,18,4,1,9,2024-11-04 08:08:27
1309.79,Debit,San Francisco,D000251,M004,ATM,23,Student,139,1,1258.93,16,0,6,3,2024-11-04 08:11:14
729.38,Debit,Los Angeles,D000443,M093,ATM,68,Doctor,90,1,9127.65,17,1,14,11,2024-11-04 08:08:16
137.49,Debit,Fort Worth,D000159,M040,ATM,34,Engineer,50,1,4471.05,16,2,26,7,2024-11-04 08:07:04
504.71,Debit,Detroit,D000009,M060,Online,29,Engineer,61,1,6214.54,18,0,10,4,2024-11-04 08:08:37
371.47,Credit,Milwaukee,D000661,M097,Branch,24,Student,58,1,1187.04,16,1,30,5,2024-11-04 08:07:09
