Código,Status entomologico,Estado,Localidad,Altitud,Longitud,Latitud,A2. Cuantos dormitorios tiene la vivienda,A3 Número de personas que duermen en la vivienda,A4. Duermen 3 o mas personas en algun dormitorio,A1. Tiene luz electrica,A5 Escusado de uso exclusivo del hogar,A5 Escusado de uso común de varios hogares,A5 Letrina,A5 No tiene,A6 Red Pública de alcantarillado,A6 Pozo ciego,A6 Pozo séptico,A6 Medio ambiente,A7 Red pública,A7 Pozo,A7 Rio vertiente acequia o canal,A7 Carro Repartidor,A7 Otro,A7 Agua de lluvia,A8. Hierve o usa cloro en el agua antes de beberla,A9 Por qué trata el agua antes de beberla,B1 Losa de hormigón,B1 Asbestos o similares,B1 Zinc,B1 Teja,B1 Paja palma o similares,B1 Otros materiales,B2 Hormigón ladrillo o bloque,B2 Adobe o tapia,B2 Madera,B2 Caña guadua revestida con papel,B2 Caña guadua revestida o rellena de barro,B2 Caña guadua no revestida,B3 Entablado rústico,B3 Parquet,B3 Baldosa o vinyl,B3 Ladrillo o cemento,B3 Caña guadua,B3 Tierra,B3 Otros materiales,B4 Gas,B4 Electricidad,B4 Gasolina,B4 Kerex o diesel,B4 Leña o carbón,B4 Otro,B4 Ninguno,C1. Leña,C1 Lugares,"C2. Productos agricolas como maiz, etc.",C2 Lugares,D1. Ha fumigado Ud mismo su casa,D2. Ha fumigado SNEM su casa,D2 Hace cuánto tiempo (meses),E1. Gallinas o Palomas u otras aves,E1 Cuántas,E2. Tiene un gallinero,E2. Donde,E3. Perros,E3 Cuántos,E4. Duerme el perro dentro de la casa,E5. Cuyes,E5 Cuántos,E6. Tiene una cuyera,E6. Donde,E7. Chanchos o puercos,E7 Cuántos,E8. Ovejas o chivos,E8 Cuántos,E9. Tiene un corral,E9. Donde,E10. Gatos,F1. Ratones,F2. Ratas,"F3. Raposas, zorros, guanchacas o zarigueyas",G1. Leña,G1 Distancia de la casa (metros),G2. Madera para construccion,G1. Cuánta,G2 Distancia de la casa (metros),G2. Cuánta,G3. Rocas. bloques o ladrillos,G3 Distancia de la casa (metros),G3. Cuanta,G4. Basura de la vivienda,G4 Distancia de la casa (metros),G4. Cuánta,G5. Otros,G5 Distancia de la casa (metros),G5. Cuánta,H1. Hojas de Palma de coco,H1 Distancia de la casa (metros),H1. Cuánta,H2. Hojas de Palma de Cade o tagua,H2 Distancia de la casa (metros),H2. Cuánta,H3. Hojas de Palmera (Otro Tipo),H3 Qué tipo,H3. Cuánta,H4. Desperdicios de la cosecha,H4 Distancia de la casa (metros),H4. Cuánta,H5. Productos agricolas de la cosecha,H5 Distancia de la casa (metros),H5. Cuánta,I1. Piñuelas,I1 Distancia de la casa (metros),I1. Cuánta,I2. Arbustos,I2 Distancia de la casa (metros),I2. Cuánto,I3. Arboles frutales,I3 Distancia de la casa (metros),I3. Cuánto,I4. Maleza o monte,I4 Distancia de la casa (metros),I4. Cuánto,J1. Existen palmas a una distancia de 30m,J2. Palmas de coco,J2 Distancia de la casa (metros),J2 Cuántas,J3. Palmas de cade o tagua,J3 Distancia de la casa (metros),J3 Cuántas,J4. Palma Africana,J4 Distancia de la casa (metros),J4 Cuántas,J5. Otro tipo de de palmera o palma,J5 Cuál,J5 Distancia de la casa (metros),J5 Cuántas,E10 Cuántos,
CA407,Negativa,Examinada,Cochas del Almendro,581,80.27057,04.19906,0,3,-1,1,FALSO,FALSO,FALSO,VERDADERO,FALSO,FALSO,FALSO,VERDADERO,VERDADERO,FALSO,FALSO,FALSO,FALSO,FALSO,3,no,FALSO,FALSO,FALSO,VERDADERO,FALSO,FALSO,VERDADERO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,VERDADERO,FALSO,VERDADERO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,2,,1,dormitorio,1,2,0,1,8,1,0,1,1,2,2,0,2,0,2,0,2,0,2,0,1,1,1,2,2,0,2,0,0,0,2,0,0,1,1,1,2,0,0,2,0,0,2,0,0,2,,0,1,1,2,1,1,2,2,0,0,2,0,0,2,0,0,2,0,0,2,2,0,0,2,0,0,2,0,0,2,,0,0,1,
CA410,Negativa,Examinada,Cochas del Almendro,581,80.27065,04.19910,2,4,-1,1,VERDADERO,FALSO,FALSO,FALSO,VERDADERO,FALSO,FALSO,FALSO,VERDADERO,FALSO,FALSO,FALSO,FALSO,FALSO,1,por bichos,FALSO,FALSO,FALSO,VERDADERO,FALSO,VERDADERO,FALSO,VERDADERO,VERDADERO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,VERDADERO,FALSO,FALSO,FALSO,VERDADERO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,2,,2,,2,1,12,1,30,1,3,1,1,2,2,0,2,0,1,5,1,60,1,5,1,3,3,1,2,0,2,0,0,0,2,0,0,1,6,1,2,0,0,2,0,0,2,0,0,2,,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,2,0,0,2,0,0,2,0,0,2,,0,0,2,
CA408,Negativa,Examinada,Cochas del Almendro,583,80.27056,04.19898,3,11,-1,1,FALSO,FALSO,FALSO,VERDADERO,FALSO,FALSO,FALSO,VERDADERO,FALSO,VERDADERO,FALSO,FALSO,FALSO,FALSO,3,,FALSO,FALSO,FALSO,VERDADERO,FALSO,FALSO,VERDADERO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,VERDADERO,FALSO,VERDADERO,FALSO,FALSO,FALSO,VERDADERO,FALSO,FALSO,2,,1,sala,1,1,1,1,10,1,0,1,1,2,2,0,2,0,1,5,1,5,1,5,1,1,2,2,1,6,1,0,0,0,1,0,0,1,1,0,2,0,0,2,0,0,2,0,0,2,,0,2,0,0,1,2,0,2,0,0,1,1,0,2,0,0,1,5,0,2,2,0,0,2,0,0,2,0,0,2,,0,0,1,
CA402,Negativa,Examinada,Cochas del Almendro,584,80.27145,04.19725,2,7,-1,1,FALSO,FALSO,FALSO,VERDADERO,FALSO,FALSO,FALSO,VERDADERO,FALSO,VERDADERO,FALSO,FALSO,FALSO,FALSO,2,los doctors dijanos pero si moran los doctors,FALSO,FALSO,FALSO,VERDADERO,FALSO,FALSO,VERDADERO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,VERDADERO,FALSO,FALSO,FALSO,VERDADERO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,2,,1,dormitorio,1,1,8,1,7,1,4,1,4,2,2,0,2,0,2,0,1,12,1,5,2,4,4,2,2,0,2,0,0,0,2,0,0,1,2,0,2,0,0,2,0,0,2,0,0,2,,0,2,0,0,2,0,0,2,0,0,1,5,0,2,0,0,1,2,0,2,2,0,0,2,0,0,2,0,0,2,,0,0,0,
CA403,Negativa,Examinada,Cochas del Almendro,584,80.27169,04.19773,4,12,-1,1,FALSO,FALSO,FALSO,VERDADERO,FALSO,FALSO,FALSO,VERDADERO,FALSO,VERDADERO,FALSO,FALSO,FALSO,FALSO,1,para matar a los microbios,FALSO,FALSO,FALSO,FALSO,FALSO,VERDADERO,VERDADERO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,VERDADERO,FALSO,FALSO,FALSO,VERDADERO,FALSO,FALSO,FALSO,VERDADERO,FALSO,FALSO,1,cocina,2,,2,2,0,1,20,1,4,1,4,2,2,0,2,0,1,2,1,25,1,0,1,2,1,2,2,0,2,0,0,0,1,4,0,2,0,0,1,6,0,2,0,0,2,0,0,2,,0,2,0,0,0,0,0,2,0,0,1,2,0,2,0,0,1,6,0,2,2,0,0,2,0,0,2,0,0,2,,0,0,1,
LG106,Negativa,Examinada,Laguar,585,80.01979,04.31270,2,6,-1,1,FALSO,FALSO,FALSO,VERDADERO,FALSO,FALSO,FALSO,VERDADERO,FALSO,FALSO,VERDADERO,FALSO,FALSO,FALSO,3,para cocinarla,FALSO,FALSO,VERDADERO,VERDADERO,FALSO,VERDADERO,FALSO,VERDADERO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,VERDADERO,FALSO,VERDADERO,FALSO,FALSO,FALSO,VERDADERO,FALSO,FALSO,1,cocina,2,,1,1,24,1,5,1,5,1,7,2,2,0,2,0,1,7,2,0,2,0,1,2,2,4,2,0,2,0,0,0,1,15,1,2,0,0,2,0,0,2,0,0,2,0,0,2,,0,1,3,2,1,4,2,2,0,0,1,6,2,1,7,2,1,15,1,2,2,0,0,2,0,0,2,0,0,2,,0,0,2,
CA012,Negativa,Examinada,Cochas del Almendro,587,80.27886,04.20013,2,2,-1,1,FALSO,FALSO,FALSO,VERDADERO,FALSO,FALSO,FALSO,VERDADERO,FALSO,VERDADERO,FALSO,FALSO,FALSO,FALSO,2,,FALSO,FALSO,FALSO,VERDADERO,FALSO,FALSO,FALSO,FALSO,VERDADERO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,VERDADERO,FALSO,VERDADERO,FALSO,FALSO,FALSO,VERDADERO,FALSO,FALSO,1,su casa es una leña,2,,2,1,12,1,5,2,0,1,1,2,2,0,2,0,1,2,2,0,2,0,2,3,3,3,1,3,1,0,1,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,,0,2,0,0,2,0,0,2,0,0,1,5,0,1,0,2,1,5,2,2,2,0,0,2,0,0,2,0,0,2,,0,0,0,
CA013,Negativa,Examinada,Cochas del Almendro,589,80.27770,04.19998,2,10,-1,1,VERDADERO,FALSO,FALSO,FALSO,FALSO,FALSO,VERDADERO,FALSO,FALSO,VERDADERO,FALSO,FALSO,FALSO,FALSO,3,,FALSO,FALSO,FALSO,VERDADERO,FALSO,FALSO,VERDADERO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,VERDADERO,FALSO,FALSO,FALSO,VERDADERO,FALSO,FALSO,FALSO,VERDADERO,FALSO,FALSO,2,,2,,1,2,0,1,10,2,0,1,1,2,2,0,2,0,1,4,1,4,1,0,2,3,3,3,2,0,2,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,,0,2,0,0,1,1,2,2,0,0,1,6,0,2,0,0,1,6,0,2,2,0,0,2,0,0,2,0,0,2,,0,0,0,
AB003,Negativa,Examinada,Algarrobillo,731,80.08172,04.17418,1,7,-1,1,FALSO,VERDADERO,FALSO,FALSO,FALSO,FALSO,VERDADERO,FALSO,VERDADERO,FALSO,FALSO,FALSO,FALSO,FALSO,3,,FALSO,FALSO,FALSO,VERDADERO,FALSO,FALSO,FALSO,FALSO,FALSO,VERDADERO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,2,,2,,2,2,0,1,9,1,5,2,0,2,2,0,2,0,1,1,2,0,2,0,2,4,0,4,2,0,2,0,0,0,1,5,0,1,10,0,2,0,0,2,0,0,2,0,0,2,,0,2,0,0,2,0,0,2,0,0,1,5,0,2,0,0,1,10,0,2,2,0,0,2,0,0,2,0,0,2,,0,0,0,
AB001,Negativa,Examinada,Algarrobillo,733,80.08000,04.17431,1,6,1,1,FALSO,FALSO,FALSO,VERDADERO,FALSO,FALSO,FALSO,VERDADERO,VERDADERO,FALSO,VERDADERO,FALSO,FALSO,FALSO,3,,FALSO,FALSO,FALSO,VERDADERO,FALSO,FALSO,VERDADERO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,VERDADERO,FALSO,VERDADERO,FALSO,FALSO,FALSO,VERDADERO,FALSO,FALSO,2,,1,cuarto,1,2,0,2,0,2,0,2,0,2,2,0,2,0,2,0,2,0,2,0,2,2,0,2,2,0,2,0,0,0,2,0,0,1,20,0,2,0,0,2,0,0,2,0,0,2,,0,2,0,0,2,0,0,2,0,0,1,10,0,2,0,0,1,10,0,2,2,0,0,2,0,0,2,0,0,2,,0,0,0,
AB004,Negativa,Examinada,Algarrobillo,733,80.08154,04.17435,1,5,-1,1,VERDADERO,FALSO,FALSO,FALSO,FALSO,VERDADERO,FALSO,FALSO,VERDADERO,FALSO,FALSO,FALSO,FALSO,FALSO,3,,FALSO,FALSO,FALSO,VERDADERO,FALSO,FALSO,VERDADERO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,VERDADERO,FALSO,VERDADERO,FALSO,VERDADERO,FALSO,FALSO,FALSO,VERDADERO,FALSO,FALSO,2,,2,,1,2,0,1,4,1,5,1,2,2,2,0,2,0,1,3,2,0,2,0,1,2,3,2,2,0,2,0,0,0,1,3,0,1,5,0,2,0,0,2,0,0,2,0,0,2,,0,2,0,0,2,0,0,2,0,0,1,10,0,1,3,0,1,5,0,2,2,0,0,2,0,0,2,0,0,2,,0,0,3,
AB006,Negativa,Examinada,Algarrobillo,735,80.08670,04.17459,1,4,-1,1,VERDADERO,FALSO,FALSO,FALSO,FALSO,VERDADERO,FALSO,FALSO,VERDADERO,FALSO,FALSO,FALSO,FALSO,FALSO,3,,FALSO,FALSO,FALSO,VERDADERO,FALSO,FALSO,VERDADERO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,VERDADERO,FALSO,VERDADERO,FALSO,VERDADERO,FALSO,FALSO,FALSO,VERDADERO,FALSO,FALSO,2,,2,,1,2,0,1,12,1,4,1,2,2,2,0,2,0,1,2,2,0,2,0,1,3,3,0,2,0,2,0,0,0,2,0,0,1,10,0,2,0,0,2,0,0,2,0,0,2,,0,2,0,0,2,0,0,2,0,0,1,5,0,1,5,0,1,5,0,2,2,0,0,2,0,0,2,0,0,2,,0,0,1,
AB005,Positiva,Examinada,Algarrobillo,741,80.08089,04.17438,3,3,-1,1,VERDADERO,FALSO,FALSO,FALSO,FALSO,VERDADERO,FALSO,FALSO,VERDADERO,FALSO,FALSO,FALSO,FALSO,FALSO,2,,FALSO,FALSO,FALSO,VERDADERO,FALSO,FALSO,VERDADERO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,VERDADERO,FALSO,VERDADERO,FALSO,VERDADERO,FALSO,FALSO,FALSO,VERDADERO,FALSO,FALSO,1,fuera,1,maiz blentro,1,2,0,1,3,2,0,1,1,2,2,0,2,0,2,0,2,0,2,0,1,4,2,1,1,2,2,0,0,0,2,0,0,1,5,0,2,0,0,2,0,0,2,0,0,2,,0,2,0,0,2,0,0,2,0,0,1,10,0,1,5,0,1,10,0,2,2,0,0,2,0,0,2,0,0,2,,0,0,1,
AB102,Positiva,Examinada,Algarrobillo,744,80.07395,04.17424,2,4,-1,1,VERDADERO,FALSO,FALSO,FALSO,FALSO,FALSO,VERDADERO,FALSO,VERDADERO,FALSO,FALSO,FALSO,FALSO,FALSO,3,,FALSO,VERDADERO,FALSO,FALSO,FALSO,FALSO,VERDADERO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,VERDADERO,VERDADERO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,2,,2,,2,2,0,1,30,1,3,1,1,2,2,0,2,0,1,4,2,0,2,0,1,1,1,1,2,0,2,0,0,0,2,0,0,1,30,1,2,0,0,2,0,0,2,0,0,1,african,1,2,0,0,1,15,2,2,0,0,1,1,1,1,1,2,1,1,1,1,2,0,0,2,0,0,1,1,8,2,,0,0,1,
AB101,Negativa,Examinada,Algarrobillo,747,80.07648,04.17496,2,10,-1,1,VERDADERO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,VERDADERO,VERDADERO,FALSO,FALSO,FALSO,FALSO,FALSO,2,porque tiene micribios el agua,FALSO,FALSO,FALSO,VERDADERO,FALSO,FALSO,VERDADERO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,VERDADERO,FALSO,FALSO,FALSO,VERDADERO,FALSO,FALSO,FALSO,VERDADERO,FALSO,FALSO,2,,1,"cocina, dormitorio, sala",2,2,0,1,10,1,4,1,2,2,2,0,2,0,1,6,2,0,2,0,1,3,3,1,1,5,1,1,5,1,1,5,1,1,0,1,2,0,0,2,0,0,2,0,0,2,,0,1,5,2,1,1,1,2,0,0,2,0,0,1,8,2,1,2,2,2,2,0,0,2,0,0,2,0,0,2,,0,0,1,
AB105,Negativa,Examinada,Algarrobillo,747,80.07119,04.17275,1,3,-1,1,FALSO,FALSO,VERDADERO,FALSO,FALSO,FALSO,FALSO,VERDADERO,VERDADERO,FALSO,FALSO,FALSO,FALSO,FALSO,3,,FALSO,FALSO,VERDADERO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,VERDADERO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,VERDADERO,FALSO,VERDADERO,FALSO,FALSO,FALSO,VERDADERO,FALSO,FALSO,2,,1,cocina,1,2,0,1,100,1,3,1,2,0,2,0,2,0,1,3,2,0,2,0,1,3,3,2,1,5,2,0,0,0,2,0,0,1,7,2,2,0,0,2,0,0,2,0,0,2,,0,1,3,1,1,3,1,2,0,0,1,5,1,1,5,2,1,5,2,2,2,0,0,2,0,0,2,0,0,2,,0,0,2,
AB103,Positiva,Examinada,Algarrobillo,749,80.07214,04.17409,1,4,-1,1,VERDADERO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,VERDADERO,VERDADERO,FALSO,FALSO,FALSO,FALSO,FALSO,1,tiene bichos,FALSO,FALSO,FALSO,VERDADERO,FALSO,FALSO,FALSO,FALSO,VERDADERO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,VERDADERO,VERDADERO,FALSO,FALSO,FALSO,VERDADERO,FALSO,FALSO,2,,0,,0,2,0,1,100,1,3,1,2,2,2,0,2,0,1,7,2,0,2,0,2,3,3,2,1,0,2,0,0,0,1,2,1,1,2,2,2,0,0,2,0,0,2,0,0,2,,0,1,2,1,2,0,0,2,0,0,1,0,1,1,0,0,1,7,2,1,1,5,1,2,0,0,2,0,0,2,,0,0,0,
AB109,Negativa,Examinada,Algarrobillo,753,80.06536,04.17350,2,2,-1,1,VERDADERO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,VERDADERO,VERDADERO,FALSO,FALSO,FALSO,FALSO,FALSO,3,,FALSO,FALSO,FALSO,VERDADERO,FALSO,VERDADERO,VERDADERO,VERDADERO,FALSO,FALSO,FALSO,FALSO,VERDADERO,FALSO,FALSO,VERDADERO,FALSO,FALSO,FALSO,VERDADERO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,2,,1,cocina,2,1,20,1,40,1,4,1,2,2,2,0,2,0,1,1,2,0,2,0,2,1,1,1,1,0,1,2,1,2,1,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,,0,2,0,0,2,0,0,2,0,0,2,0,0,1,10,2,1,2,2,2,2,0,0,2,0,0,2,0,0,2,,0,0,0,
AD001,Negativa,Examinada,Algodonal,754,80.057950,4.166680,1,4,-1,1,FALSO,FALSO,FALSO,VERDADERO,FALSO,FALSO,FALSO,VERDADERO,VERDADERO,FALSO,FALSO,FALSO,FALSO,FALSO,1,por los microbios,FALSO,FALSO,FALSO,VERDADERO,FALSO,FALSO,FALSO,VERDADERO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,VERDADERO,FALSO,VERDADERO,FALSO,FALSO,FALSO,VERDADERO,FALSO,FALSO,2,,2,,1,1,10,1,5,1,4,2,0,2,2,0,2,0,1,1,2,0,1,5,2,4,4,4,2,0,2,0,0,0,1,5,0,2,0,0,2,0,0,2,0,0,2,0,0,2,,0,1,15,2,2,0,0,2,0,0,1,20,2,2,0,0,1,15,2,2,2,0,0,2,0,0,2,0,0,0,,0,0,0,
AB008,Negativa,Examinada,Algarrobillo,755,80.08160,04.17511,2,7,-1,1,VERDADERO,FALSO,FALSO,FALSO,FALSO,VERDADERO,FALSO,FALSO,VERDADERO,FALSO,FALSO,FALSO,FALSO,FALSO,3,,FALSO,FALSO,FALSO,VERDADERO,FALSO,FALSO,VERDADERO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,VERDADERO,FALSO,VERDADERO,FALSO,FALSO,FALSO,VERDADERO,FALSO,FALSO,2,,1,fuera,1,2,0,1,20,1,5,1,2,2,2,0,2,0,1,1,2,0,2,0,2,2,0,3,2,0,2,0,0,0,2,0,0,1,20,0,2,0,0,2,0,0,2,0,0,2,,0,2,0,0,2,0,0,2,0,0,1,10,0,1,20,0,1,10,0,2,2,0,0,2,0,0,2,0,0,2,,0,0,0,
AB214,Negativa,Examinada,Algarrobillo,755,80.06469,04.17171,2,2,-1,1,VERDADERO,FALSO,FALSO,FALSO,FALSO,VERDADERO,FALSO,FALSO,VERDADERO,FALSO,FALSO,FALSO,FALSO,FALSO,1,porque hay microbios,VERDADERO,FALSO,FALSO,FALSO,FALSO,FALSO,VERDADERO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,VERDADERO,FALSO,FALSO,VERDADERO,VERDADERO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,2,,2,,2,2,0,1,30,1,2,1,1,2,2,0,2,0,1,5,2,0,2,0,2,2,2,1,1,0,2,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,,0,2,0,0,2,0,0,2,0,0,1,1,1,1,50,2,1,1,2,2,2,0,0,2,0,0,2,0,0,2,,0,0,0,
AB106,Negativa,Examinada,Algarrobillo,756,80.06598,04.17480,4,5,-1,1,VERDADERO,FALSO,FALSO,FALSO,VERDADERO,FALSO,FALSO,FALSO,VERDADERO,FALSO,FALSO,FALSO,FALSO,FALSO,0,,FALSO,VERDADERO,FALSO,FALSO,FALSO,FALSO,VERDADERO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,VERDADERO,FALSO,FALSO,FALSO,VERDADERO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,2,,1,cocina y sala platano,1,2,0,1,40,1,3,2,0,2,2,0,2,0,1,2,2,0,2,0,2,1,1,1,2,0,2,0,0,0,1,0,1,2,0,0,2,0,0,2,0,0,2,0,0,2,,0,2,0,0,2,0,0,2,0,0,0,0,0,1,50,2,1,2,2,1,1,5,10,2,0,0,2,0,0,2,,0,0,0,
AB203,Negativa,Examinada,Algarrobillo,756,80.06313,04.17262,1,2,-1,1,FALSO,FALSO,FALSO,VERDADERO,FALSO,FALSO,FALSO,VERDADERO,VERDADERO,FALSO,FALSO,FALSO,FALSO,FALSO,3,,FALSO,FALSO,FALSO,VERDADERO,FALSO,FALSO,VERDADERO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,VERDADERO,FALSO,FALSO,FALSO,FALSO,FALSO,VERDADERO,FALSO,FALSO,2,,2,,1,2,0,2,0,2,0,2,0,2,2,0,2,0,2,0,2,0,2,0,1,4,4,1,2,0,2,0,0,0,2,0,0,2,0,0,1,2,1,2,0,0,2,0,0,2,,0,1,2,1,2,0,0,2,0,0,1,5,1,1,5,1,2,0,0,2,2,0,0,2,0,0,2,0,0,2,,0,0,2,
AB411,Negativa,Examinada,Algarrobillo,757,80.06470,04.17113,1,5,-1,1,VERDADERO,FALSO,FALSO,FALSO,VERDADERO,FALSO,FALSO,FALSO,VERDADERO,FALSO,FALSO,FALSO,FALSO,FALSO,1,para cobatir la suciedad del agua,FALSO,FALSO,VERDADERO,FALSO,FALSO,VERDADERO,VERDADERO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,VERDADERO,FALSO,FALSO,FALSO,VERDADERO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,1,patio,1,cocina,2,2,0,1,12,1,5,2,0,2,2,0,2,0,1,5,2,0,1,5,2,2,1,1,1,10,2,0,0,0,1,5,1,2,0,0,2,0,0,1,20,1,2,0,0,2,,0,2,0,0,1,0,1,2,0,0,2,0,0,2,0,0,2,0,0,1,1,30,1,2,0,0,2,0,0,2,,0,0,0,
AB205,Negativa,Examinada,Algarrobillo,760,80.06345,04.17250,1,2,-1,1,FALSO,VERDADERO,FALSO,FALSO,FALSO,FALSO,VERDADERO,FALSO,VERDADERO,FALSO,FALSO,FALSO,FALSO,FALSO,1,,FALSO,FALSO,FALSO,VERDADERO,FALSO,FALSO,FALSO,VERDADERO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,VERDADERO,FALSO,VERDADERO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,2,,2,,2,2,0,2,0,2,0,2,0,2,2,0,2,0,2,0,2,0,2,0,2,3,3,2,2,0,2,0,0,0,1,2,2,2,0,0,2,0,0,2,0,0,2,0,0,2,,0,2,0,0,2,0,0,2,0,0,1,2,1,1,2,1,2,0,0,2,2,0,0,2,0,0,2,0,0,2,,0,0,0,
AB415,Negativa,Examinada,Algarrobillo,760,80.06468,04.17146,2,3,-1,1,VERDADERO,FALSO,FALSO,FALSO,VERDADERO,FALSO,FALSO,FALSO,VERDADERO,FALSO,FALSO,FALSO,FALSO,FALSO,1,compran en poma aqua es mas darato,FALSO,FALSO,FALSO,VERDADERO,FALSO,VERDADERO,VERDADERO,FALSO,VERDADERO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,VERDADERO,FALSO,FALSO,FALSO,VERDADERO,FALSO,FALSO,FALSO,VERDADERO,FALSO,FALSO,2,,1,bodega,2,2,0,1,30,1,5,1,0,2,2,0,2,0,1,2,2,0,1,5,2,4,4,3,1,10,1,2,10,2,1,11,2,2,0,0,2,0,0,2,0,0,2,0,0,2,,0,1,10,2,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,2,0,0,2,0,0,2,0,0,2,,0,0,0,
AB309,Positiva,Examinada,Algarrobillo,760,80.05800,04.16674,0,2,-1,1,FALSO,FALSO,FALSO,VERDADERO,FALSO,FALSO,FALSO,VERDADERO,FALSO,FALSO,VERDADERO,FALSO,FALSO,FALSO,1,para que se meueran los bichos,FALSO,FALSO,FALSO,VERDADERO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,VERDADERO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,VERDADERO,FALSO,FALSO,FALSO,FALSO,FALSO,VERDADERO,FALSO,FALSO,2,,1,"bodega, maiz",1,2,0,1,10,1,2,1,2,2,2,0,2,0,1,2,2,0,2,0,1,4,0,4,1,0,1,0,6,0,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,,0,1,0,2,1,0,2,1,8,2,1,1,2,2,0,0,1,2,2,2,2,0,0,2,0,0,2,0,0,2,,0,0,1,
AB405,Negativa,Examinada,Algarrobillo,762,80.06469,04.17066,3,7,-1,1,VERDADERO,FALSO,FALSO,FALSO,VERDADERO,FALSO,FALSO,FALSO,VERDADERO,FALSO,FALSO,FALSO,FALSO,FALSO,1,para matar bichos,FALSO,FALSO,FALSO,VERDADERO,FALSO,VERDADERO,FALSO,VERDADERO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,VERDADERO,FALSO,FALSO,FALSO,VERDADERO,FALSO,FALSO,FALSO,VERDADERO,FALSO,FALSO,2,,1,pasillo,2,2,0,1,6,2,0,1,1,2,2,0,2,0,2,0,2,0,2,0,2,3,3,1,2,0,1,0,3,0,1,0,0,2,0,0,2,0,0,1,15,1,2,0,0,2,,0,1,3,1,1,0,0,2,0,0,1,6,1,1,4,2,1,8,1,1,1,15,1,2,0,0,2,0,0,2,,0,0,0,
